suite,m6_review_scenario,run_id,duration_s,num_bonded,rl_capacity,background_rpa_rate_per_min,attack_rpa_rate_per_min,unique_attack_rpa,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260613,1800,512,8,1000.0,10000.0,True,20260613,P3-NoCache,True,300,1500,1261528,819.706303,0.586733,0,0.0,0.0,45521.28,0.413267,0,0,0,0,0,11,56,22620,151383.36,4208
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260613,1800,512,8,1000.0,10000.0,True,20260613,P3-NoBudget,True,300,1500,139168526,53057.005719,1.0,0,0.0,0.0,5052479.04,0.005719,0,0,0,0,2307,302,0,0,16700223.12,5168
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260614,1800,512,8,1000.0,10000.0,True,20260614,StaticRL,True,300,1500,138999195,54233.006243,1.0,0,0.0,0.0,5033871.36,0.0,0,0,0,0,0,1024,0,0,16679903.4,0
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260614,1800,512,8,1000.0,10000.0,True,20260614,ZephyrCache,True,300,1500,138633272,54090.234881,1.0,0,0.0,0.0,5033871.36,0.0,0,0,0,0,2254,301,0,0,16635992.64,1024
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260614,1800,512,8,1000.0,10000.0,True,20260614,BudgetDoS,True,300,1500,1261539,815.474467,0.60359,0,0.0,0.0,45964.8,0.39641,0,0,0,0,0,8,1016,247416,151384.68,4192
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260614,1800,512,8,1000.0,10000.0,True,20260614,P3-NoPersist,True,300,1500,1260008,863.610692,0.569255,0,0.0,0.0,45944.64,0.430745,0,0,0,0,1442,9,57,22583,151200.96,5232
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260614,1800,512,8,1000.0,10000.0,True,20260614,P3-NoCache,True,300,1500,1261539,815.474467,0.60359,0,0.0,0.0,45964.8,0.39641,0,0,0,0,0,8,62,22583,151384.68,4208
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260614,1800,512,8,1000.0,10000.0,True,20260614,P3-NoBudget,True,300,1500,138630254,54089.057355,1.0,0,0.0,0.0,5033871.36,0.005072,0,0,0,0,2254,295,0,0,16635630.48,5168
m6_review_closure,baseline_medium_flood,m6close_baseline_medium_flood_s20260610,1800,512,8,100.0,1000.0,True,20260610,StaticRL,True,300,1500,14321111,5769.988316,1.0,0.0,0.0,0.0,502750.08,0.0,0,0,0,0,0,1019,0,0,1718533.32,0
m6_review_closure,baseline_medium_flood,m6close_baseline_medium_flood_s20260610,1800,512,8,100.0,1000.0,True,20260610,Random-RL,True,300,1500,14610839,5886.719984,1.0,0.0,0.0,0.0,502750.08,0.0,0,0,0,0,0,1595,0,0,1753300.68,4128
