run_id,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,reserve_grant_legit_p50_delay_ms,reserve_grant_legit_p95_delay_ms,reserve_grant_legit_p99_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes,suite,m14_phase,m14_scenario,attack_strategy,attack_addr_pool_size,attack_repeats_per_addr,attack_repeat_interval_s,unique_attack_rpa,duplicate_filter_window_s,persist_reserve,persist_k,seed,estimated_attack_event_count,dup_removable_fraction
m14_confirm_pool224_r1_p120_dup0_s20260624,P3-Persist,True,300,1500,3780008,2207.948598,0.659222,0.0,0.0,0.0,0.0,100.0,100.0,146059.2,0.341548,14,4986,0,0,1678,12,64,22247,453600.96,6832,m14_adaptive_refinement,confirm,heavy_flood,pool224_r1_p120,224,1,120.0,False,0,200,1,20260624,29492.0,0.0
m14_confirm_pool224_r1_p120_dup0_s20260625,P3-Persist,True,300,1500,3780007,2311.930887,0.628604,0,0.0,0.0,0,0.0,0.0,145978.56,0.371396,17,4983,0,0,1604,7,45,22062,453600.84,6832,m14_adaptive_refinement,confirm,heavy_flood,pool224_r1_p120,224,1,120.0,False,0,200,1,20260625,29303.0,0.0
m14_confirm_pool224_r1_p120_dup0_s20260626,P3-Persist,True,300,1500,3780007,2386.368056,0.61324,0.0,0.0,0.0,0,0.0,0.0,146502.72,0.38676,9,4991,0,0,1558,10,61,22018,453600.84,6832,m14_adaptive_refinement,confirm,heavy_flood,pool224_r1_p120,224,1,120.0,False,0,200,1,20260626,29285.0,0.0
m14_confirm_pool224_r1_p120_dup0_s20260627,P3-Persist,True,300,1500,3780007,2252.685936,0.652157,0.0,0.0,0.0,0.0,35.0,87.0,146280.96,0.348232,14,4986,0,0,1648,9,72,22176,453600.84,6832,m14_adaptive_refinement,confirm,heavy_flood,pool224_r1_p120,224,1,120.0,False,0,200,1,20260627,29432.0,0.0
m14_confirm_pool224_r1_p120_dup0_s20260628,P3-Persist,True,300,1500,3780007,2416.884271,0.623853,0.0,0.0,0.0,0,10.0,82.0,146563.2,0.377343,19,4981,0,0,1529,9,110,22221,453600.84,6832,m14_adaptive_refinement,confirm,heavy_flood,pool224_r1_p120,224,1,120.0,False,0,200,1,20260628,29491.0,0.0
m14_confirm_pool224_r1_p120_dup0_s20260629,P3-Persist,True,300,1500,3780007,2277.112651,0.651747,0.0,0.0,0.0,0.0,0.0,0.0,146119.68,0.348253,20,4980,0,0,1624,9,53,21879,453600.84,6832,m14_adaptive_refinement,confirm,heavy_flood,pool224_r1_p120,224,1,120.0,False,0,200,1,20260629,29127.0,0.0
m14_confirm_pool224_r1_p120_dup60_s20260610,P3-Persist,True,300,1500,3044169,1267.875469,0.928102,0,0,0,0,100.0,100.0,112896.0,0.079629,195,3345,68,244077,2194,3,11,0,365300.28,6832,m14_adaptive_refinement,confirm,heavy_flood,pool224_r1_p120,224,1,120.0,False,60,200,1,20260610,249677.0,0.977571
m14_confirm_pool224_r1_p120_dup60_s20260611,P3-Persist,True,300,1500,3037111,1279.322241,0.926258,0.0,0.0,0.0,0,100,100.0,112855.68,0.082716,181,3345,79,244406,2180,6,9,0,364453.32,6832,m14_adaptive_refinement,confirm,heavy_flood,pool224_r1_p120,224,1,120.0,False,60,200,1,20260611,250004.0,0.977608
m14_confirm_pool224_r1_p120_dup60_s20260612,P3-Persist,True,300,1500,3056269,1280.917435,0.927683,0.0,0.0,0.0,0.0,100.0,100.0,112835.52,0.07776,204,3360,76,244071,2168,1,3,1,366752.28,6832,m14_adaptive_refinement,confirm,heavy_flood,pool224_r1_p120,224,1,120.0,False,60,200,1,20260612,249669.0,0.977578
m14_confirm_pool224_r1_p120_dup60_s20260613,P3-Persist,True,300,1500,3047700,1239.910496,0.937095,0.0,0.0,0.0,0,100.0,100.0,112754.88,0.067861,219,3328,48,245019,2224,3,5,1,365724.0,6832,m14_adaptive_refinement,confirm,heavy_flood,pool224_r1_p120,224,1,120.0,False,60,200,1,20260613,250613.0,0.977679
