run_id,num_bonded,rl_capacity,attack_rpa_rate_per_min,seed,method,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,estimated_energy_uJ,sram_bytes
w3_nb128_rl8_atk1000_s20260530,128,8,1000,20260530,Freq-RL,3985637,5293.010624,1.0,0,0.0,0.0,120246.271318,0.0,478276.44,512
w3_nb128_rl8_atk1000_s20260530,128,8,1000,20260530,BudgetDoS,384077,510.062417,1.0,0,0.0,0.0,10892.205742,0.0,46089.24,512
w3_nb128_rl8_atk1000_s20260530,128,8,1000,20260530,P3-NoPersist,362505,481.414343,1.0,0,0.0,0.0,11452.21632,0.0,43500.6,512
w3_nb128_rl8_atk10000_s20260530,128,8,10000,20260530,FullScan-Host,38891078,49229.212658,1.0,0.0,0.0,0.0,1282826.671378,0.0,4666929.36,0
w3_nb128_rl8_atk10000_s20260530,128,8,10000,20260530,StaticRL,36460422,46152.432911,1.0,0.0,0.0,0.0,1202650.004417,0.0,4375250.64,512
w3_nb128_rl8_atk10000_s20260530,128,8,10000,20260530,LRU-RL,36469228,46163.579747,1.0,0.0,0.0,0.0,1202650.004417,0.0,4376307.36,512
w3_nb128_rl8_atk10000_s20260530,128,8,10000,20260530,Freq-RL,36461493,46153.788608,1.0,0.0,0.0,0.0,1202650.004417,0.0,4375379.16,512
w3_nb128_rl8_atk10000_s20260530,128,8,10000,20260530,BudgetDoS,386613,489.383544,1.0,0.0,0.0,0.0,11884.019807,0.0,46393.56,512
w3_nb128_rl8_atk10000_s20260530,128,8,10000,20260530,P3-NoPersist,364595,461.512658,1.0,0.0,0.0,0.0,11408.019013,0.0,43751.4,512
w3_nb128_rl32_atk0_s20260530,128,32,0,20260530,FullScan-Host,386982,480.126551,1.0,0.0,0.0,0.0,0.0,0.0,46437.84,0
w3_nb128_rl32_atk0_s20260530,128,32,0,20260530,StaticRL,290438,360.344913,1.0,0.0,0.0,0.0,0.0,0.0,34852.56,512
