epoch_min,loss_rate,benign_density_rpa_per_min,contrast,metric,n,mean,sd,ci95_low,ci95_high
5,0.2,1000.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,51.408,44.590098,30.539192,72.276808
5,0.2,1000.0,P3-Persist_minus_BudgetDoS,offered_legit_resolution_rate,20,0.212369,0.053399,0.187377,0.23736
5,0.2,1000.0,P3-Persist_minus_BudgetDoS,observed_legit_resolution_rate,20,0.265892,0.067442,0.234328,0.297456
5,0.2,1000.0,P3-Persist_minus_BudgetDoS,false_defer_observed_legit_rate,20,-0.259081,0.068288,-0.291041,-0.227122
5,0.2,1000.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,52.416,56.037242,26.189763,78.642237
5,0.2,5000.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.214831,0.041582,0.19537,0.234292
5,0.2,5000.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.269222,0.052099,0.244839,0.293606
5,0.2,5000.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.262408,0.051855,-0.286677,-0.238139
5,0.2,5000.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,41.328,34.902826,24.992975,57.663025
5,0.2,5000.0,P3-Persist_minus_BudgetDoS,offered_legit_resolution_rate,20,0.228011,0.075492,0.19268,0.263343
5,0.2,5000.0,P3-Persist_minus_BudgetDoS,observed_legit_resolution_rate,20,0.285397,0.092995,0.241874,0.32892
5,0.2,5000.0,P3-Persist_minus_BudgetDoS,false_defer_observed_legit_rate,20,-0.278287,0.092969,-0.321798,-0.234777
5,0.2,5000.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,38.304,47.120773,16.2508,60.3572
5,0.4,100.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.143588,0.024802,0.131981,0.155196
5,0.4,100.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.23867,0.040976,0.219492,0.257847
5,0.4,100.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.231547,0.041429,-0.250936,-0.212158
5,0.4,100.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,47.376,54.045505,22.081925,72.670075
5,0.4,100.0,P3-Persist_minus_BudgetDoS,offered_legit_resolution_rate,20,0.174309,0.062125,0.145234,0.203384
5,0.4,100.0,P3-Persist_minus_BudgetDoS,observed_legit_resolution_rate,20,0.289662,0.102802,0.241549,0.337775
5,0.4,100.0,P3-Persist_minus_BudgetDoS,false_defer_observed_legit_rate,20,-0.281956,0.102844,-0.330089,-0.233824
